trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",25,0,-188.91902183334508,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",30,0,-52.35821850304586,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-135.61420385369118,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",35,0,-178.52118355914865,"{0: 24, 1: 1, 2: 6, 3: 1, 4: 3}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-36.2315165609814,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-111.52370939953838,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",35,0,-176.63277235098644,"{0: 20, 1: 3, 2: 10, 3: 0, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-83.30568684204262,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,0,-87.93031045969371,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",25,0,-140.6974905539927,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",25,0,-163.79171377195937,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",30,0,-127.3690642491857,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",25,14,-14.940739133818688,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",25,0,-97.89840782982283,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-68.96922068940259,"{0: 12, 1: 6, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",30,0,-192.22001863389383,"{0: 14, 1: 7, 2: 5, 3: 2, 4: 2}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,0,-149.30622932286676,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",30,0,-120.75912414611716,"{0: 18, 1: 5, 2: 4, 3: 2, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,0,-174.10417945014103,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 2}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",30,12,-72.03105805663701,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 1}",1
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,9,-37.49908588099614,"{0: 5, 1: 3, 2: 3, 3: 0, 4: 0}",1
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",20,0,-120.47097523474118,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",20,8,-38.59989143534549,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 0}",1
24,False,"{'a': 0.01, 'e': 0.9713379748520296}",20,0,-53.856621594076884,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",25,0,-124.05962928641162,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-39.95487414962472,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",20,0,-50.52031683601989,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",30,0,-177.91029726169725,"{0: 16, 1: 3, 2: 8, 3: 1, 4: 2}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",20,0,-69.50738753865775,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",20,7,-104.92534152839782,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 2}",1
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",25,0,-167.08658835212614,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",35,0,-107.42534855565593,"{0: 23, 1: 5, 2: 5, 3: 1, 4: 1}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",25,0,-140.07803134532062,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",25,1,-67.95861467538718,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 1}",1
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",30,6,-107.86722755539743,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 2}",1
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",20,0,-94.57951843933797,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",25,0,-78.94261671205557,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",25,0,-85.63363145989052,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",20,0,-104.42662749161761,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",20,9,-48.009984126948794,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",25,0,-174.14816712134635,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,0,-125.87251784115581,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",20,0,-16.687795027321382,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199634}",20,0,-35.24642304779779,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",20,0,-24.072409363331424,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255252}",25,8,-39.54716492935303,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 0}",1
47,False,"{'a': 0.01, 'e': 0.891568288195329}",25,0,-77.97068654746988,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",30,0,-185.5430394723583,"{0: 19, 1: 4, 2: 3, 3: 0, 4: 4}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101215}",20,5,-107.59511299846335,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 2}",1
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",25,0,-149.42199674330936,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,0,-134.04394776198032,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",25,0,-159.13881629099768,"{0: 15, 1: 5, 2: 1, 3: 1, 4: 3}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",25,0,-154.76779183306078,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",20,0,-46.34813627143266,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,9,12.509676784371464,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",25,0,-77.34928139152755,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",20,0,-94.77507189456193,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",25,0,-184.98993470929796,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 4}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001636}",20,0,-55.051310951607576,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",20,0,-92.5075380869409,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",25,0,-58.137001691532866,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",20,0,-141.64321870202315,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",25,10,-91.29207415759042,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 2}",1
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",20,0,-88.88220947682903,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490558}",25,16,-4.2585728045828475,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",20,7,-112.4177744013175,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 2}",1
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",20,12,-50.43559750937728,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",20,0,-14.737111536766317,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",25,0,-57.76743866910802,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",30,16,-12.453417638027169,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",25,6,12.28497078195663,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.01, 'e': 0.7518057291408949}",20,6,-118.25515205184479,"{0: 7, 1: 0, 2: 5, 3: 0, 4: 2}",1
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",25,4,-46.5611118887463,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 0}",1
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",20,2,-63.080070927534294,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",30,0,-120.22706019443902,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",25,0,-150.3429078655017,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",20,0,-88.21251901721593,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",30,0,-103.05585205370303,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
79,False,"{'a': 0.01, 'e': 0.7038453156522361}",30,1,-46.0578542765156,"{0: 22, 1: 1, 2: 6, 3: 0, 4: 0}",1
80,False,"{'a': 0.01, 'e': 0.6967067093471654}",20,5,8.970598257306523,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.01, 'e': 0.689498432951747}",30,0,-79.78635561160894,"{0: 22, 1: 1, 2: 6, 3: 0, 4: 1}",0
82,False,"{'a': 0.01, 'e': 0.6822212072876135}",20,5,-38.043596782057335,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
83,False,"{'a': 0.01, 'e': 0.674875760071267}",20,4,16.80949223548215,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.01, 'e': 0.6674628258413081}",35,9,-110.76643155279582,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 2}",1
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",25,0,-53.19547101483157,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",25,14,5.2857580627051615,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",20,6,-30.288394848797957,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",20,0,-11.653808300967146,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",20,0,1.1815581767480317,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
90,False,"{'a': 0.01, 'e': 0.6216099682706644}",20,12,14.902437257024724,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",25,14,-18.898923033150904,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
92,False,"{'a': 0.01, 'e': 0.6058201566434628}",20,13,-12.41031552418923,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",20,0,-76.40206685232839,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
94,False,"{'a': 0.01, 'e': 0.5897880250310982}",20,0,-65.20023895694126,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",20,0,-54.07340814284589,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",20,12,-36.122867678461915,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",25,0,-98.40267210512943,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",20,0,-107.72918201893205,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
99,False,"{'a': 0.01, 'e': 0.5486898605815875}",20,0,-57.261546812583006,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
