trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.60608860620158,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-134.1528448397275,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-117.98512538850721,"{0: 17, 1: 3, 2: 8, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",35,6,-181.9855172265661,"{0: 17, 1: 1, 2: 8, 3: 0, 4: 3}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-153.6100974824067,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.31557155285157,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-131.62658563882113,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.88034256141835,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-42.14744084500196,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-173.2745431784612,"{0: 9, 1: 7, 2: 7, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-183.72587345685216,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.21699591829955,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.63150646012835,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-56.59460238921248,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.64226659067086,"{0: 11, 1: 8, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-158.13974580193056,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,16,-11.277044003618006,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-172.09533158723,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,8,-115.37979428342572,"{0: 12, 1: 2, 2: 6, 3: 1, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-30.636849209862284,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-69.39862223216026,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-169.81258928784808,"{0: 17, 1: 2, 2: 9, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,15,9.304422157201863,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-101.48304590267936,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-133.61692779298042,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-78.83377709394489,"{0: 13, 1: 6, 2: 6, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-109.27543511173234,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,11,-8.9065518056195,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-49.03917786122032,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,5,-64.05884363134864,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",1
